ra,dec,sy_dist,pl_rade,x,y,z
311.2911369,-31.34245,114.37764705882353,3.24,-8.084508192033088,-2.267633927648641,114.06903484458843
311.2911369,-31.34245,114.37764705882353,1.02,-8.084508192033088,-2.267633927648641,114.06903484458843
177.5647268,2.7601075,12595.647058823532,12.7,-303.38526704843525,4679.525901457128,-11690.18047541524
318.4010002,14.6893834,580.6117647058823,13.8,-224.1553219883408,-440.56628408643394,-304.57472361549253
176.4820239,14.6163182,9035.823529411764,13.8,6823.8598721323815,4210.410928023367,-4165.751206847825
240.09564,15.5467507,5016.705882352941,13.7,188.43658371808937,782.8991793564654,-4951.656130923697
154.186782,19.8912626,18114.235294117647,12.1,-15156.145703904027,-3849.695902487979,9143.11813065194
154.186782,19.8912626,18114.235294117647,12.4,-15156.145703904027,-3849.695902487979,9143.11813065194
25.9203179,21.0052692,15558.94117647059,13.0,9152.860577248164,9192.82686520805,-8590.560401547587
53.6511231,20.5990205,2111.3058823529414,2.578,-2016.129800847124,-502.03928099517327,-375.219556169608
32.9470485,45.9242187,630.8470588235294,13.6,23.318395701118867,587.4362692252726,-228.78569371120366
40.7102869,49.5869395,10252.858823529412,13.9,6380.652519038643,-836.8996277693767,7981.7282902608395
40.7425426,48.9300579,7842.223529411765,13.5,7589.283839541279,-747.3805655890085,1828.8419774045465
45.6406187,49.7299481,5200.494117647058,13.5,231.97934831204097,-2643.6570598611647,4472.404498643275
23.9636676,56.6982282,618.4670588235293,14.0,36.03252842506901,-84.81727707758715,611.5629070294137
190.8875453,60.0143636,528.8741176470588,14.684,123.27957063021651,-114.75624923058948,-501.339189615884
271.3979337,63.6700064,447.61529411764707,12.4,114.05025959852314,312.606236703956,299.3815802405475
347.7108441,0.4085612,501.64941176470586,12.0,-106.68409811782338,168.34186414925313,460.36035049449737
88.2511811,-5.9963378,238.46470588235294,2.85,64.71704557216373,19.072074998953667,228.72117505644698
88.2511811,-5.9963378,238.46470588235294,8.38,64.71704557216373,19.072074998953667,228.72117505644698
150.1971964,-9.5165689,486.28470588235297,3.61,36.807247859768815,-25.140740363265653,-484.2375293738218
150.1971964,-9.5165689,486.28470588235297,12.5,36.807247859768815,-25.140740363265653,-484.2375293738218
164.6191243,-10.7704227,993.0223529411765,14.1,299.4201661731215,920.4844873025395,-221.6963377349105
278.3688659,-11.6370481,319.60588235294114,14.1,-84.89374277523875,241.5913986617575,191.2447870266518
278.3688659,-11.6370481,319.60588235294114,4.04,-84.89374277523875,241.5913986617575,191.2447870266518
114.2884692,-13.9066703,10884.870588235295,12.5,-3927.323791080933,-9842.383615760515,2486.769052977871
7.1413494,-16.2273254,405.415294117647,12.8,131.56212829219328,152.25054864501635,-351.95559029658585
