rastr,ra,decstr,dec,glat,glon,elat,elon,ra_reflink,sy_dist,sy_disterr1,sy_disterr2
06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,-11.79597,228.68876,-42.32234,101.73845,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19.8101000,0.1648000,-0.1648000
06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,-11.79597,228.68876,-42.32234,101.73845,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19.8101000,0.1648000,-0.1648000
13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,74.09910,337.65749,21.33810,194.97087,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17.9011000,0.0560000,-0.0557000
02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,-54.44177,169.94418,-15.16759,35.32138,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,82.9613000,0.7236500,-0.7236500
02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,-54.44177,169.94418,-15.16759,35.32138,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,82.9613000,0.7236500,-0.7236500
14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,39.66099,112.79492,73.34497,130.65518,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,162.5520000,0.6510000,-0.6460000
02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,-55.24995,174.48697,-17.84979,35.89019,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,101.2600000,1.2220000,-1.2220000
23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,-61.11327,67.07416,-4.00228,346.30621,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,44.0304000,0.5132500,-0.5132500
04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,-7.98082,172.49916,7.88431,76.08410,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,162.1270000,1.5260000,-1.4980000
06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,-26.93081,266.94347,-81.21165,106.85953,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,50.0475000,0.0735000,-0.0733000
05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,-24.04116,214.37435,-35.05939,80.14319,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,26.8564000,0.0189000,-0.0188000
20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,-36.80401,12.65304,-12.82465,305.30682,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,9.7221000,0.0046250,-0.0046250
20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,-36.80401,12.65304,-12.82465,305.30682,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,9.7221000,0.0046250,-0.0046250
20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,-36.80401,12.65304,-12.82465,305.30682,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,9.7221000,0.0046250,-0.0046250
11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,61.57342,269.32522,1.56429,176.66835,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1070.6300000,63.8750000,-63.8750000
21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,-22.63172,64.41837,29.21653,325.97640,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,49.3520000,0.0846000,-0.0844000
11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,70.27244,249.00212,11.99953,170.89104,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,768.0450000,45.0380000,-45.0380000
16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507,44.78011,28.10432,35.31759,233.93894,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,426.4200000,6.4400000,-6.4400000
10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,53.95226,216.04472,8.58559,148.87814,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1539.7100000,189.9250000,-189.9250000
10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,53.95226,216.04472,8.58559,148.87814,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1539.7100000,189.9250000,-189.9250000
01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,-40.23345,138.97420,9.58745,31.62164,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1322.5100000,80.5350000,-80.5350000
03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,-28.05348,166.79660,1.31208,56.28872,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,179.4610000,1.2570000,-1.2400000
02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,-14.70463,137.23205,30.57409,47.31265,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,53.6220000,0.1919000,-0.1905000
02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,-9.37870,140.80848,32.03021,54.57335,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,871.4930000,43.8490000,-43.8490000
