ra,dec,sy_dist,pl_rade,st_rad,st_teff,hostname,sy_pnum,x,y,z
59.037486,13.5590288,562.4549112379739,2.55211506,1.7272047118965712,5377.0,K2-80,3,281.3051385769888,468.8649446465827,131.8658783289111
189.5748998,-5.2446247,415.73136728609785,1.1,1.3320152555737954,3782.0,EPIC 228836835,1,-408.2236039703973,-68.86191694468887,-38.00125394893459
132.7376431,13.170269,593.2252223220842,2.72,1.821581120040963,5994.0,K2-331,2,-391.9986048471,424.245223616687,135.1637837419498
136.7892752,15.2056765,977.0144994494508,5.7395617,1.8728803893219947,5790.7,K2-333,1,-687.1578906640713,645.5263034483476,256.2560379559416
136.4894259,16.3255146,1057.5969296718858,5.0,1.9379171123551746,6890.0,K2-334,1,-736.0932826620183,698.784672209188,297.2842524533573
133.1218996,21.2386816,584.3282364393714,2.4,1.93704587811059,6140.0,K2-342,1,-372.2904331057945,397.53356292839646,211.6751937844879
134.2021746,21.5026882,462.18504072837754,2.3,1.4847732999317564,3790.0,K2-343,2,-299.80463953174234,308.27246599550926,169.41156010550642
136.3614923,21.6685886,198.72105581843,1.6,1.5541377774392235,3860.0,K2-344,1,-133.6533185095207,127.44773067042348,73.37523031611808
130.8783479,24.4229559,565.5064644824838,3.36071,1.7408395611469554,4954.0,K2-348,2,-336.9814707372271,389.3192401459811,233.81954367291448
140.4451478,18.469628,490.7955238045139,2.0,1.7650116418091568,5930.0,K2-352,3,-358.91955694416293,296.4480134654483,155.4849611439716
134.7188514,21.0747961,61.94690724108773,2.06081,1.3320152555737954,3413.0,G 9-40,1,-40.6721146634785,41.07323978329028,22.27526384223372
140.3390845,14.3678691,299.1585590916479,1.61084174,1.8906223143813703,5910.0,HD 80653,2,-223.09946208299175,184.96380256598178,74.23520213755197
287.3619673,38.7141384,295.2847656939682,1.654,2.0686397771270113,6202.0,Kepler-21,1,68.75413082364521,-219.90613674189362,184.68149167927567
281.2881335,42.4510975,2939.6206791348714,14.83,1.9499233351294365,6225.0,Kepler-8,1,424.56861673011406,-2127.0509470499283,1984.1283969388783
282.0004201,48.542256,633.0372798792539,8.28,2.3882343628731686,7221.0,TOI-4588,1,87.14158452560818,-409.95414206551163,474.42612002989614
291.0489438,36.8400772,712.6150716046824,2.78,1.7413091234176281,5505.0,KOI-984,2,204.83719036703835,-532.2596839846148,427.27227212315375
287.857953,42.5426758,801.6225681852997,2.53,1.5328198936278925,4057.0,Kepler-505,1,181.11681288335342,-562.1586233985978,542.0084169582288
291.4994412,37.0592571,5135.667786813499,1.92,1.7623458459799721,5880.0,Kepler-745,1,1502.0050307925885,-3813.1709705849707,3094.962302367461
290.7287168,37.2526575,1756.2289099562581,1.75,1.7436488774402559,5830.0,Kepler-262,2,494.78222002624085,-1307.4210087412546,1063.0996401156624
292.2628779,37.2369732,4920.292980495568,2.23,1.7815028896896852,5922.0,Kepler-748,1,1484.072396509691,-3625.2309006387018,2977.3332115983003
292.044628,37.3761861,2708.8809837575345,3.71,2.100448916134923,6207.0,Kepler-264,2,807.9543784735641,-1995.2813185092948,1644.4142928338936
129.6894456,23.6852651,83.1757582942614,2.884,1.8790445422674094,6252.6,HD 73344,3,-48.64384545892123,58.613760962362115,33.412723514270084
292.2910129,37.5807686,3714.2056459623886,2.88,1.7865753921591394,6000.0,Kepler-1732,1,1116.497149251323,-2723.5180830393097,2265.216755096615
292.4698022,37.5677941,2166.243015630846,2.67,1.6988157783724447,5265.0,Kepler-263,2,656.2445145767535,-1586.679194336512,1320.757765117048
291.3647333,37.609239,900.3174434719232,2.094,1.680172303484953,5121.0,Kepler-261,2,259.8299469424596,-664.21103512942,549.4393492497625
332.6357627,-11.1661157,579.2645109890412,1.948,1.6297736752523506,4663.0,K2-368,3,504.7076930739303,-261.216077780778,-112.17699832047164
291.1384628,37.8592447,6004.607706429044,2.31,1.8118251936543144,6363.0,Kepler-1733,1,1709.628235177456,-4421.764814583526,3685.1704071999447
293.2541121,37.8461519,5106.397195445381,2.04,1.7853131557109085,5952.0,Kepler-754,1,1592.0006283691905,-3704.748691325498,3132.995922602927
123.1361518,13.6884986,645.7356788644729,2.061,1.9596659733298052,6138.0,K2-373,1,-342.9529870631352,525.3639261562289,152.80890260959006
291.9032411,37.9023677,776.5992525379563,1.52,1.5304684744203585,3937.0,Kepler-753,1,228.59250908685007,-568.5487927870871,477.0787503675224
130.082542,18.6929046,1024.4091167289846,1.92,1.6634861535426746,4857.0,K2-339,1,-624.8130244067182,742.4483494047824,328.31870405948854
292.2681469,37.955672,3548.8311475502337,2.92,1.7361140297684075,5687.0,Kepler-752,1,1060.3572902373442,-2589.5178777670303,2182.714386168781
293.1845144,37.9698357,6633.187141832804,2.59,1.7711650427075207,5957.0,Kepler-766,1,2058.6909242606184,-4806.873419445169,4081.045364410265
287.4441104,38.0884183,4016.581567078729,2.4,1.9496415330419778,5979.0,Kepler-771,1,947.6766887296461,-3015.9013449685954,2477.73595365843
210.6376171,-10.0236852,1607.9940654411614,2.3,1.7680999213478592,5765.0,EPIC 212624936,2,-1362.4120036819616,-806.9360096237145,-279.87983687620897
290.8846217,38.0575539,1564.846723882402,1.52,1.8418913797994083,5735.0,Kepler-773,1,439.2449265983336,-1151.1958002502734,964.6540277162815
283.0317641,-27.1807287,508.61844768800876,2.181,1.6807169456863442,4603.0,K2-379,1,102.02388677788566,-440.7989444384688,-232.33627017154373
283.4346389,-26.5387308,702.8755790861514,2.729,1.9112465342545746,5911.0,K2-380,1,146.0964241214764,-611.6082033710976,-314.0466845928939
291.5791562,38.0358066,6498.299223747681,6.64,1.772471662610759,5694.0,Kepler-767,1,1882.4142043678805,-4759.493563969681,4003.951870225831
291.9259658,38.0140525,1797.4451452397914,2.108,1.7685392055509868,5541.0,Kepler-260,2,528.796331604451,-1313.7015582780916,1106.965087798836
291.9761559,38.0550327,2447.4346719558403,2.55,1.8967479596574832,6081.0,Kepler-268,2,721.1819314645883,-1787.128834811985,1508.6429740015208
20.4998403,0.7509701,220.40966650654505,2.222,1.3663021402674942,3623.0,K2-384,5,206.43408699295307,77.18188662506456,2.8888049272946628
12.6140752,5.8712567,1199.4507273644965,1.539,1.6861238222961243,4844.0,K2-385,1,1164.359619443965,260.5655534688509,122.69603224634727
289.7766991,38.2622374,4121.243473899447,2.44,1.7865753921591394,6085.0,Kepler-1736,1,1094.8963838602997,-3045.0766581320995,2552.1280974644405
18.2999964,7.0130302,1222.5139846185446,2.32,1.7853131557109085,5749.0,K2-386,1,1152.002172043772,380.98821188165147,149.26292440376633
291.0318604,38.211894,2638.327567234324,2.2,1.9847376714382752,6405.0,Kepler-774,1,743.9761006050461,-1934.9073776242865,1631.9942872976615
291.423582,38.2165603,3253.2879262982606,1.82,1.8404210404022199,5714.0,Kepler-772,1,933.6180266932045,-2379.429188200486,2012.5994261082105
133.7094899,11.8482712,930.0918016944476,1.49,1.696203923404798,5106.0,K2-268,5,-629.0026480670707,657.9954460347255,190.96706863069085
348.5159113,-0.0821031,750.9679424111565,2.352,1.8258010477404696,5678.0,K2-393,1,735.932832817979,-149.51440763014085,-1.0761137294148635
71.110002,16.5185817,264.8653542808585,1.92318,1.6519711973873963,4197.0,K2-394,1,82.2116146346328,240.25732862032112,75.30818256815365
295.9463854,42.6588324,2013.5176976031926,4.283,1.798172025587478,5595.0,Kepler-119,2,647.8699064292824,-1331.4909686152532,1364.4229195526545
