ra,dec,sy_dist,pl_rade,st_rad,st_teff,x,y,z
199.596455,-18.3157745,84.74391387450522,2.11,1.4844578361769118,5577.0,4.532761956437114,-42.87813609253291,72.95512629723878
99.171276,-19.2561808,217.78522117081593,13.4,2.027854987648462,4826.0,-18.04930831307174,84.2243177624972,200.0272214656865
202.1064898,13.7763085,195.32295909189895,12.6,1.7105203184933226,5495.0,91.78860680923789,158.01853274445332,68.96414516054618
38.0391598,-1.0350269,960.8542651719174,13.3,2.281579649774835,4809.0,-778.9054045366074,-275.5695947937092,490.5187948569964
224.201685,74.9009379,1897.3588028589052,13.6,2.2789857053423797,4847.0,370.88077037352963,825.6444679635014,1667.5518263234223
39.4243555,-3.3963607,1176.1660488824878,13.1,2.307370080027909,4734.0,-45.59925036516068,292.8901258664324,-1138.201501088416
348.9745031,-9.0878076,502.7735534023473,13.1,2.301029883380495,4665.0,160.74172632592644,42.36832326383683,-474.49791211594913
73.9410446,30.5510888,1892.3580373358357,12.5,1.8607966431400829,9770.0,-163.26448394569684,1430.7807274837771,1227.6930233623038
94.8039208,-58.0541184,573.57380335261,12.3,1.4968947444463687,5285.0,-486.0957171870641,-302.15073451872854,37.45390840172846
81.7699216,-11.9011752,300.695560241886,13.1,1.5719103437735948,6130.0,184.86663884878078,16.405894376200163,236.58612051355237
311.2911369,-31.34245,99.08469741381505,3.95677019,1.397955150078453,3678.0,-7.003562921128576,-1.9644382214893035,98.81734842865919
177.5647268,2.7601075,12582.265049112857,12.7,2.662687220742498,4095.0,-303.06294104400234,4674.554226658509,-11677.760461746157
318.4010002,14.6893834,565.3901976554456,13.8,1.4465322435370096,4864.0,-218.27876992590345,-429.0162094220315,-296.58986202776714
176.4820239,14.6163182,9021.896494294047,13.8,2.2318841131281904,4649.0,6813.342166051887,4203.921365598455,-4159.330479045806
240.09564,15.5467507,5002.1635017796325,13.7,2.39824090190047,4796.0,187.8903454935201,780.6297184624588,-4937.30231596768
154.186782,19.8912626,18101.69820572804,12.1,2.8018916212525955,4137.0,-15145.655946249322,-3847.031479893321,9136.79006444879
25.9203179,21.0052692,15546.012860761683,13.0,2.4528419322414914,4296.0,9145.25523509537,9185.18831406098,-8583.422288759066
53.6511231,20.5990205,2096.318671634394,2.57807,1.5229003701445658,5766.0,-2001.8182023176093,-498.4755299744651,-372.5560413274257
32.9470485,45.9242187,615.6331830284029,13.6,1.4277162765598748,5004.0,22.756035663172373,573.2693133640329,-223.26816441604402
40.7102869,49.5869395,10239.11812213051,13.9,2.301029883380495,4414.0,6372.101280549622,-835.7780295806218,7971.031318131277
40.7425426,48.9300579,7828.113748626892,13.5,2.2799607878875507,4534.0,7575.629149530403,-746.0358734996047,1825.5515127430158
45.6406187,49.7299481,5185.979875900555,13.5,2.177066408219277,4943.0,231.33190899850112,-2636.278784490855,4459.922307795066
23.9636676,56.6982282,603.2512875932828,14.0,1.4603530341228068,5012.0,35.14604190724843,-82.73056887547214,596.5169944727043
190.8875453,60.0143636,513.6446293241448,14.68376472,1.4210260008358215,4993.0,119.72960530062241,-111.45172193510747,-486.9025986024256
271.3979337,63.6700064,432.3733646939301,12.4,1.4242595316052828,5000.0,110.16668807985116,301.96155530036856,289.18721696307665
88.2511811,-5.9963378,223.19075453857627,2.85,1.3709173006588848,4324.0,60.571840932656706,17.85048564684806,214.07130858594667
150.1971964,-9.5165689,471.04869692399427,3.61,1.3822727425222154,4816.0,35.654023110274764,-24.35304430628303,-469.0656614407638
164.6191243,-10.7704227,977.8639278546216,14.1,1.4654788461870154,5393.0,294.8495357689861,906.433348269481,-218.31215678715566
278.3688659,-11.6370481,304.3443540976598,14.1,1.3469489812347644,4550.0,-80.83997428849308,230.0551467950358,182.11264058618235
114.2884692,-13.9066703,10871.226650753611,12.5,2.4872536167162393,4545.0,-3922.4009801167167,-9830.04641196598,2483.651944582766
153.6696689,-15.6428372,6920.1394607370485,21.59,1.783554083493755,6935.0,434.2418012611338,-119.41879105186585,-6905.469090976459
7.1413494,-16.2273254,390.1669036792233,12.8,1.3961477837313332,4714.0,126.61384260041767,146.5241346594361,-338.71791442274264
33.3024198,-21.1962147,263.9369920205467,14.0,1.399304309426097,4051.0,58.49511771628218,-179.0919668223638,-184.8435132210751
269.4486144,4.7379808,6.181652176940717,0.72,0.931370909960394,3195.0,-4.611678307176728,4.113420126527913,0.15818245941496425
48.3530155,4.7751881,85.96563030805889,1.82,0.9127402479451598,3130.0,28.747004928563072,80.83682997661789,5.395018186289563
68.4667685,22.8416192,1843.774129465826,13.0,1.7088945131109599,3807.0,-1104.6335005869887,836.73558112485,-1216.2078100177039
117.300914,-76.702696,112.78444164560293,12.44196858,1.179685247509946,3406.0,53.00470022188001,95.02488611815815,29.683380028731932
166.0375038,-76.4553693,2228.79777522084,24.66,1.6709706412157521,4403.0,1733.4108258235253,-873.7789485360244,1095.1423564278978
102.0798591,-3.1021394,9255.626391588761,16.7,1.5320863049105382,5950.0,-7.9951723000561525,-364.98228995296796,-9248.423860632414
